service_id,service_en,service_fr,org_id,org_name_en,org_name_fr
4101,Status Confirmation Service,Service de confirmation du statut,127,Health Canada,Santé Canada
4100,"International, Intergovernmental and Stakeholder Relations","Relations internationales, intergouvernementales et avec les parties prenantes",127,Health Canada,Santé Canada
4099,Education and Outreach,Éducation et sensibilisation,127,Health Canada,Santé Canada
4098,Regulatory and legislative advice and guidance,Conseils et orientations en matière de réglementation et de legislation,127,Health Canada,Santé Canada
4097,Compliance response and enforcement action to a Type I mandatory recall (MO),Réponse en matière de conformité et mesures coercitives à la suite d'un rappel obligatoire (MO) de type I,127,Health Canada,Santé Canada
4096,Compliance response and enforcement escalation,Réponse en matière de conformité et escalade en matière d'application,127,Health Canada,Santé Canada
4095,Oral health providers claims' and estimates' processing and payment as part of the Canadian Dental Care Plan ,Traitement des réclamations et des demandes d'autorisations préalables et paiement aux fournisseurs de soins buccodentaires dans le cadre du Régime canadien de soins dentaires,127,Health Canada,Santé Canada
4094,Oral Health Access Funding (OHAF) applications' review and transfer of funds to eligible recipients,Oral Health Access Funding (OHAF) applications' review and transfer of funds to eligible recipients,127,Health Canada,Santé Canada
4093,Consumer Information Centre,Centre d'information aux consommateurs,151,Financial Consumer Agency of Canada,Financial Consumer Agency of Canada
4092,Clean Energy for Rural and Remote Communities - demonstration stream,Énergie propre pour les collectivités rurales et éloignées - volet démonstration,134,Natural Resources Canada,Ressources naturelles Canada
4091,Oil Spill Response Challenge,Défi d’intervention en cas de déversement d’hydrocarbures ,134,Natural Resources Canada,Ressources naturelles Canada
4090,Greener Neighbourhoods Pilot Program,Programme pilote pour des quartiers plus verts,134,Natural Resources Canada,Ressources naturelles Canada
4089,Trade Missions and Events,Missions et activités commerciales,122,Canadian Heritage,Patrimoine canadien
4088,Commemorating the National Day for Truth and Reconciliation,Commémoration de la Journée nationale de la vérité et de la réconciliation,122,Canadian Heritage,Patrimoine canadien
4087,Indigenous Business Navigator Service,Service de navigateur pour les entreprises autochtones,348,Department of Indigenous Services,Ministère des Services aux Autochtones
4086,Multiculturalism and Anti-Racism Initiatives - National Holocaust Remembrance Program,Multiculturalisme et la lutte contre le racisme - Programme national de commémoration de l’Holocauste,122,Canadian Heritage,Patrimoine canadien
4085,Development of Official-Language Communities – Post-Secondary Sector and Scientific Knowledge in French Support Fund,Développement des communautés de langue officielle - Fonds d’appui au secteur postsecondaire et aux savoirs scientifiques en français,122,Canadian Heritage,Patrimoine canadien
9223,Climate Change Funding Programs - Implementation Readiness Fund,Programmes de financement pour le changement climatique - Fonds de préparation à la mise en œuvre,137,Environment and Climate Change Canada,Environnement et Changement climatique Canada
4083,Financial Support for Health Care Programs,Soutien financier pour les programmes de soins de santé,139,Veterans Affairs Canada,Anciens Combattants Canada
4082, Commemorative Benefits and Services,Avantages et services commémoratifs,139,Veterans Affairs Canada,Anciens Combattants Canada
4081,Financial Assistance and Income Replacement Programs Benefits Administration,Administration des avantages des programmes d’aide financière et de remplacement du revenu,139,Veterans Affairs Canada,Anciens Combattants Canada
4080,Disability Benefits Program Benefits Administration ,Administration des avantages du Programme de prestations d’invalidité,139,Veterans Affairs Canada,Anciens Combattants Canada
4078,Canadian Grain Sampling Program Sample Inspection ,Inspection d’échantillon du Programme canadien d’échantillonnage des grains,65,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
4079,Christmas Tree Export Program,Programme d'exportation d'arbres de Noël,65,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
4077,Paper Records Management,gestion des documents papier,130,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
4076,ATIP Requests Processing,Traitement des demandes d’AIPRP,139,Veterans Affairs Canada,Anciens Combattants Canada
4075,Online Services,Services en ligne,139,Veterans Affairs Canada,Anciens Combattants Canada
4074,Research and Innovation Programs Benefits Administration,Administration des avantages des programmes de recherche et d’innovation,139,Veterans Affairs Canada,Anciens Combattants Canada
4073,International Economic Leadership,Préparation du budget fédéral,124,Department of Finance Canada,Ministère des Finances Canada
4072,Lead Coordination of Financial Sector,Préparation du budget fédéral,124,Department of Finance Canada,Ministère des Finances Canada
4071,Preparation of the Federal Budget,Préparation du budget fédéral,124,Department of Finance Canada,Ministère des Finances Canada
4070,Assault-Style Firearms Compensation Program ,Programme d'indemnisation pour les armes à feu de style arme d'assaut (PIAFSAA),135,Public Safety Canada,Sécurité publique Canada
4069,Parliamentary District Policing Program ,Programme de services de police du district parlementaire,135,Public Safety Canada,Sécurité publique Canada
4068,External Network Connectivity,Connectivité au réseau externe,305,Shared Services Canada,Services partagés Canada
4067,Intra-building Network,Réseau à l’intérieur des immeubles,305,Shared Services Canada,Services partagés Canada
4066,Wide Area Network (WAN),Réseau étendu (RE),305,Shared Services Canada,Services partagés Canada
4065,Workstation Software Provisioning,Approvisionnement en logiciels de poste de travail,305,Shared Services Canada,Services partagés Canada
4064," Horizontal Policies (Greening) - strategic environmental and economic assessments, compliance management, public statements, and reporting mandatory for all departmental proposals to Cabinet (ie. Budget asks, TB subs, MCs, regulations)","Services d'appoint en matière de politiques (recherche, analyse et conseils en matière de politiques). ",136,Public Services and Procurement Canada,Services publics et Approvisionnement Canada
4063,Reconciliation and Indigenous engagement advice and  policy development,Activités de réconciliation et de mobilisation des Autochtones et élaboration de politiques,136,Public Services and Procurement Canada,Services publics et Approvisionnement Canada
4062,Moodle,Moodle,130,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
4061,Rapid Response Mechanism (RRM),Mécanisme de réponse rapide (MRR),126,Global Affairs Canada,Affaires mondiales Canada
4060,Provision of humanitarian assistance and operational response to natural disasters abroad in developing countries,Prestation d'assistance humanitaire et réponse opérationnelle aux catastrophes naturelles à l'étranger dans les pays en développement,126,Global Affairs Canada,Affaires mondiales Canada
4059,Provide leadership on Emergency Response and Preparedness for Health International Assistance portfolio.,Assurer la direction en matière de réponse et de préparation aux urgences pour le secteur d'assistance internationale en santé.,126,Global Affairs Canada,Affaires mondiales Canada
4058,Governance of LES-Missions' Management Consultative Board processes,Gouvernance du processus de Consultations entre les Conseils de direction des missions et les ERP,126,Global Affairs Canada,Affaires mondiales Canada
4057,Export Permit Services (Softwood Lumber and Logs),Service des licences d'exportation (bois d'œuvre résineux and billes de bois),126,Global Affairs Canada,Affaires mondiales Canada
4056,Economic modelling,Modélisation économique,126,Global Affairs Canada,Affaires mondiales Canada
4055,Diplomatic Security Liasion Services,Services de liaison pour la protection des diplomates,126,Global Affairs Canada,Affaires mondiales Canada
4054,Consular and emergency communications,Communications consulaires et d'urgence,126,Global Affairs Canada,Affaires mondiales Canada
4053,Canadian Technology Accelerator,Accélérateurs technologiques canadiens,126,Global Affairs Canada,Affaires mondiales Canada
4052,Advice to the Minister,Conseils au ministre,126,Global Affairs Canada,Affaires mondiales Canada
4051,Consular Case Management,Gestion de cas consulaire,126,Global Affairs Canada,Affaires mondiales Canada
4050,Regional Security Operations Division,Direction des opérations de sécurité régionales,126,Global Affairs Canada,Affaires mondiales Canada
4049,Information Requests,Demande d`informations,126,Global Affairs Canada,Affaires mondiales Canada
4048,Federal Policing Border Integrity,Intégrité frontalière de la police fédérale,295,Royal Canadian Mounted Police,Gendarmerie royale du Canada
4047,Onboarding Services,Services d'intégration,136,Public Services and Procurement Canada,Services publics et Approvisionnement Canada
4046,CanadaBuys Service Desk (Level 1),Bureau D'aide Achats Canada (Niveau 1),136,Public Services and Procurement Canada,Services publics et Approvisionnement Canada
4045,Electronic Procurement Solution (EPS),Solutions d'achats électroniques (SAE),136,Public Services and Procurement Canada,Services publics et Approvisionnement Canada
4044,Seasonal Influenza Immunization for Locally Engaged Staff,Vaccination contre la grippe saisonnière pour les employés recrutés sur place,126,Global Affairs Canada,Affaires mondiales Canada
4043,Request for Particulars,Demande de renseignements,126,Global Affairs Canada,Affaires mondiales Canada
4042,Parliamentary briefing materials for Deputy Ministers and Ministers,Documents de breffage parlementaire à l'intention des sous-ministres et des ministres,126,Global Affairs Canada,Affaires mondiales Canada
4041,LES Social Security Participation management,Gestion de la participation des ERP aux régimes locaux de sécurité sociale,126,Global Affairs Canada,Affaires mondiales Canada
4040,LES Program co-lead for LES HR systems Software as a service contract requirements,Co-direction du programme ERP pour le contrat de service des logiciels des systèmes de RH ERP,126,Global Affairs Canada,Affaires mondiales Canada
4039,LES Leave Admin system tool (Avilar) Pilot,Projet pilote (Avilar) du système d'administration des congés ERP,126,Global Affairs Canada,Affaires mondiales Canada
4038,LES HR learning Framework -Management of Program and Policy Design for Learning,Cadre des RH ERP - Gestion de la conception des programmes et des politiques pour l’apprentissage,126,Global Affairs Canada,Affaires mondiales Canada
4037,LES HR Framework- Salary scale determination & administration,Cadre de RH ERP-Établissement et administration des échelles salariales,126,Global Affairs Canada,Affaires mondiales Canada
4036,"LES HR Framework -Policy Stewardship - Management of Program and Policy Design for Staffing, Classification, Labour Relations and Terms and Conditions of Employment","Cadre des RH ERP - Gestion des politiques et direction de la conception des programmes et des politiques pour la dotation, la classification, les relations de travail et les conditions d'emploi",126,Global Affairs Canada,Affaires mondiales Canada
4035,LES HR Framework -Management of Program and Policy Design for Performance management,Cadre des RH ERP - Gestion de la conception des programmes et politiques pour la gestion du rendement,126,Global Affairs Canada,Affaires mondiales Canada
4034,LES HR Framework - LES Labour Relations and Terms and Conditions of Employment,Cadre des RH ERP - Relations de travail et termes et conditions d'emploi des ERP,126,Global Affairs Canada,Affaires mondiales Canada
4033,LES Benefits management - Insured Benefit Plans,Gestion des avantages sociaux des ERP - Régimes de prestations assurées,126,Global Affairs Canada,Affaires mondiales Canada
4032,LES Benefits management - Financial Operations/Management and Oversight - Funds Management,Gestion des prestations ERP - opérations financières/gestion et surveillance - Gestion des fonds,126,Global Affairs Canada,Affaires mondiales Canada
4031,LES Benefits management - Financial Operations/Management and Oversight - Contract and invoice Management,Gestion des prestations ERP - opérations financières/gestion et surveillance - Gestion des contrats et des factures,126,Global Affairs Canada,Affaires mondiales Canada
4030,LES Benefits management - End of service entitlements,Gestion des prestations ERP - indemnités de départ,126,Global Affairs Canada,Affaires mondiales Canada
4029,Labour Relations Centre of Expertise - Corporate Services,Centre d'expertise en relations de travail - Services ministériels,126,Global Affairs Canada,Affaires mondiales Canada
4028,"Integrated support for international assistance programming (G&Cs, RBM, Risk, APP, specialist support: gender, environment, sexual exploitation and abuse)",Ressources en matière de Gestion axée sur les résultats (GAR),126,Global Affairs Canada,Affaires mondiales Canada
4027,Government in Council (GIC) and Ministerial Appointments,Nominations par le gouverneur en conseil (GEC) et ministérielles,126,Global Affairs Canada,Affaires mondiales Canada
4026,Family Support Unit,Unité de soutien aux familles,126,Global Affairs Canada,Affaires mondiales Canada
4025,Engineering Service,Service d'ingénierie,126,Global Affairs Canada,Affaires mondiales Canada
4024,Digital Platform for Grants and Contributions Management,Plateforme numérique pour la gestion des subventions et des contributions,126,Global Affairs Canada,Affaires mondiales Canada
4023,Cyber Attributions,Connaissances des menaces cybernétiques,126,Global Affairs Canada,Affaires mondiales Canada
4022,Administration of Authorization Regime,Administration du régime d’autorisations,126,Global Affairs Canada,Affaires mondiales Canada
4021,Access to Canadian Top Secret Network, Accès au Réseau canadien très secret,126,Global Affairs Canada,Affaires mondiales Canada
4020,Citizenship Services,Services de citoyenneté,126,Global Affairs Canada,Affaires mondiales Canada
4019,Passport Services,Services de passeports,126,Global Affairs Canada,Affaires mondiales Canada
4018,Registrations of Canadians Abroad (ROCA),Inscription des Canadiens à l'étranger,126,Global Affairs Canada,Affaires mondiales Canada
4017,Domestic Physical Security,Sécurité matérielle nationale,126,Global Affairs Canada,Affaires mondiales Canada
4016,Personnel Security and Contracting,Sécurité du personnel et des marchés,126,Global Affairs Canada,Affaires mondiales Canada
4015,General Consular Guidance,Assistance consulaire générale,126,Global Affairs Canada,Affaires mondiales Canada
4014,Specialized Services,Services spécialisés,126,Global Affairs Canada,Affaires mondiales Canada
4013,Specialized Digital Systems,Systèmes numériques spécialisés,295,Royal Canadian Mounted Police,Gendarmerie royale du Canada
4012,National Communications & Public Affairs (NCPA) - Digital Communications,Communications nationales et Affaires publiques (CNAP) - Communications numériques,295,Royal Canadian Mounted Police,Gendarmerie royale du Canada
4011,LiquidFiles,FichersLiquides,295,Royal Canadian Mounted Police,Gendarmerie royale du Canada
4010,Exhibitions,Expositions,199,Library and Archives Canada,Bibliothèque et Archives Canada
4009,Tours,Visites guidées,199,Library and Archives Canada,Bibliothèque et Archives Canada
4008,Events,Événements,199,Library and Archives Canada,Bibliothèque et Archives Canada
4007,Warehouse Assessment Services,Services d'évaluation d'entrepôt,136,Public Services and Procurement Canada,
4006,Media Relations,Bureau des relations avec les médias,110,Communications Security Establishment Canada,Centre de la sécurité des télécommunications Canada
4005,Enterprise Service Project Management,Gestion de projets de services d’entreprise,136,Public Services and Procurement Canada,Services publics et Approvisionnement Canada
4004,Shared Ombuds services,Services d’ombuds partagés,136,Public Services and Procurement Canada,Services publics et Approvisionnement Canada
4003,Alternative Dispute Resolution,Règlement des différends,136,Public Services and Procurement Canada,Services publics et Approvisionnement Canada
4002,Review of federal organization’s procurement practices,L’examen des pratiques d’approvisionnement des organisations fédérales,136,Public Services and Procurement Canada,Services publics et Approvisionnement Canada
4001,Review of Complaints,L'examen des plaintes,136,Public Services and Procurement Canada,Services publics et Approvisionnement Canada
4000,School Food Infrastructure Fund,Fonds pour l'infrastructure alimentaire scolaire,1,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
3757,id not used,identifiant pas utilisé,237,"Housing, Infrastructure and Communities Canada","Logement, Infrastructure et Collectivités Canada"
3756,id not used,identifiant pas utilisé,130,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
3755,id not used,identifiant pas utilisé,130,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
3754,id not used,identifiant pas utilisé,130,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
3753,id not used,identifiant pas utilisé,130,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
3752,id not used,identifiant pas utilisé,130,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
3751,id not used,identifiant pas utilisé,130,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
3750,id not used,identifiant pas utilisé,130,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
3749,id not used,identifiant pas utilisé,130,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
3748,id not used,identifiant pas utilisé,130,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
3747,id not used,identifiant pas utilisé,130,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
3746,id not used,identifiant pas utilisé,130,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
3745,id not used,identifiant pas utilisé,130,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
3744,id not used,identifiant pas utilisé,130,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
3743,id not used,identifiant pas utilisé,126,Global Affairs Canada,Affaires mondiales Canada
3742,id not used,identifiant pas utilisé,126,Global Affairs Canada,Affaires mondiales Canada
3741,"Coordinate Canada's engagement in the G7 and G20 at the Leaders and Foreign Ministers levels, including time-sensitive meetings and rapid responses to emerging global events.","Coordonner la participation du Canada au G7 et au G20 au niveau des dirigeants et des ministres des Affaires étrangères, y compris les réunions urgentes et les réponses rapides aux événements mondiaux émergents.",126,Global Affairs Canada,Affaires mondiales Canada
3740,Administration to the Canada Fund for Local Initiatives (CFLI),Administration du Fond Canadien d'Initiative Local,126,Global Affairs Canada,Affaires mondiales Canada
3739,"Sanctions asset seizure and forfeiture implementation, including review of orders for the seizure of assets.","Mise en œuvre de la saisie et de la confiscation des biens en vertu des sanctions, y compris la révision des ordonnances de saisie des biens.",126,Global Affairs Canada,Affaires mondiales Canada
3738,TCS Website - Inquiries Page,SDC Site web - page de demandes,126,Global Affairs Canada,Affaires mondiales Canada
3737,id not used,identifiant pas utilisé,26,Canada Border Services Agency,Agence des services frontaliers du Canada
3736,id not used,identifiant pas utilisé,26,Canada Border Services Agency,Agence des services frontaliers du Canada
3735,Federal Policing Security Intelligence,Renseignement de sécurité de la Police Fédérale,295,Royal Canadian Mounted Police,Gendarmerie royale du Canada
3734,Ministerial Exemption for the Purpose of Selling a Test Market Food,Exemptions ministérielles pour vendre un aliment d'essai,65,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
3733,Adjudication of Immigration and Refugee cases,Décision des cas d’immigration et de statut de réfugié,174,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada
3732,Outline of Production - Veterinary Biologics,Protocole de production pour produits biologiques vétérinaires,65,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
3731,Special Outline for Veterinary Biologics,Protocole spécial pour produits biologiques vétérinaires,65,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
3730,Animal Health Movement Control Permit,Permis de contrôle des déplacements pour santé animale,65,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
3729,Community Volunteer Income Tax Program,Programme communautaire des bénévoles en matière d'impôt,46,Canada Revenue Agency,Agence du revenu du Canada
3728,Canada Carbon Rebate (previously known as the Climate action incentive payment),Remise canadienne sur le carbone (auparavant appelée paiement de l’incitatif à agir pour le climat),46,Canada Revenue Agency,Agence du revenu du Canada
3727,"Canada Dental Benefit (CDB)To note: The interim Canada Dental Benefit ended on June 30, 2024.",Prestation dentaire canadienne (PDC),46,Canada Revenue Agency,Agence du revenu du Canada
3726,Liaison Officer Service,Service d'agents de liaison,46,Canada Revenue Agency,Agence du revenu du Canada
3725,Luxury Tax and Information Return Filing,Déclaration de la taxe de luxe et de renseignements,46,Canada Revenue Agency,Agence du revenu du Canada
3724,Luxury Tax Exemption Certificate,Certificat d'exemption de la taxe de luxe,46,Canada Revenue Agency,Agence du revenu du Canada
3723,Luxury Tax Rebate Applications,Demande de remboursement de la taxe de luxe,46,Canada Revenue Agency,Agence du revenu du Canada
3722,"One-time top-up to the Canada Housing Benefit (OTCHB)The last day to apply for the one-time top-up to the Canada Housing Benefit was March 31, 2023.",Supplément unique à l’Allocation canadienne pour le logement (SUACL),46,Canada Revenue Agency,Agence du revenu du Canada
3721,Clearance Certificate Requests,Demande de certificat de décharge,46,Canada Revenue Agency,Agence du revenu du Canada
3720,Charities telephone enquiries,Renseignements téléphoniques sur les organismes de bienfaisance (complexes),46,Canada Revenue Agency,Agence du revenu du Canada
3719,GST/HST rulings and interpretations - telephone enquiries,Décisions et interprétations en matière de TPS/TVH – Demandes de renseignements téléphoniques,46,Canada Revenue Agency,Agence du revenu du Canada
3718,Problem Resolution,Solution de problèmes,46,Canada Revenue Agency,Agence du revenu du Canada
3717,Charities written enquiries,Demandes écrites des organismes de bienfaisance,46,Canada Revenue Agency,Agence du revenu du Canada
3716,Actuarial Validation Report Reviews,Les rapports d’évaluation actuarielle,46,Canada Revenue Agency,Agence du revenu du Canada
3715,id not used,identifiant pas utilisé,46,Canada Revenue Agency,Agence du revenu du Canada
3714,Applications for Charitable registration or re-registration,Demandes d'enregistrement ou de réenregistrement d'organismes de bienfaisance,46,Canada Revenue Agency,Agence du revenu du Canada
3713,GST/HST rulings and interpretations - written enquiries,Décisions et interprétations en matière de TPS/TVH – Demandes écrites,46,Canada Revenue Agency,Agence du revenu du Canada
